# r	p	err_p
2.664425190641249497e+00 8.994935237462636790e-01 1.050726491066325118e-04
3.523161579079503447e+00 9.000572156290950199e-01 1.478087057449586808e-04
4.338549515157914982e+00 8.990847906412462454e-01 7.459292273904169002e-05
4.983353079291393151e+00 8.997610055333922219e-01 1.049145564516146907e-04
5.585881170701975762e+00 8.991093755036817514e-01 7.451171295740651021e-05
6.112907769640671951e+00 9.020573767548741850e-01 1.278499892573818511e-04
6.618814351315474021e+00 8.986388680432011444e-01 5.255831007742899807e-05
7.446896582085941851e+00 8.994592231616286293e-01 5.615674633070843195e-05
7.905763599041342182e+00 9.004426088583343812e-01 7.459568117012255867e-05
8.289140151678642709e+00 8.997428306022431377e-01 7.382272498686795578e-05
8.622033661364261192e+00 9.022715625734372136e-01 8.010796772778870178e-05
9.002046047834596720e+00 8.991902079889138033e-01 4.177190053949624883e-05
9.674908401115175138e+00 9.005523538896249569e-01 5.170701940826978918e-05
